State,Five-Year Age Groups,Deaths,Population,Crude Rate
Alabama,0-24,10673,1191325,895.89
Alabama,0-24,1845,4765901,38.71
Alabama,0-24,1139,6103943,18.66
Alabama,0-24,1420,6371391,22.29
Alabama,0-24,5256,6557289,80.16
Alabama,0-24,8640,6625513,130.4
Alabama,25-34,9145,6159823,148.46
Alabama,25-34,10694,6008487,177.98
Alabama,35-44,14335,6190491,231.56
Alabama,35-44,21004,6442410,326.03
Alabama,45-54,31269,6582937,475
Alabama,45-54,44750,6467874,691.88
Alabama,55+,59251,5922298,1000.47
Alabama,55+,72030,5082210,1417.3
Alabama,55+,85377,4203933,2030.88
Alabama,55+,100908,3324196,3035.56
Alabama,55+,118751,2530145,4693.45
Alabama,55+,132499,1747785,7580.97
Alabama,55+,123030,Not Applicable,Not Applicable
Alabama,55+,80132,Not Applicable,Not Applicable
Alabama,55+,29771,Not Applicable,Not Applicable
Alabama,55+,6480,Not Applicable,Not Applicable
Alabama,N/A,20,Not Applicable,Not Applicable
Alaska,0-24,1295,210997,613.75
Alaska,0-24,334,818032,40.83
Alaska,0-24,181,1015988,17.82
Alaska,0-24,308,1052327,29.27
Alaska,0-24,927,1027873,90.19
Alaska,0-24,1408,1057889,133.1
Alaska,25-34,1470,1040584,141.27
Alaska,25-34,1511,984507,153.48
Alaska,35-44,1868,968375,192.9
Alaska,35-44,2453,998581,245.65
Alaska,45-54,3605,1043588,345.44
Alaska,45-54,4832,1009728,478.54
Alaska,55+,5882,866465,678.85
Alaska,55+,6274,643328,975.24
Alaska,55+,6497,431473,1505.77
Alaska,55+,6960,281742,2470.35
Alaska,55+,7309,183567,3981.65
Alaska,55+,7418,112693,6582.49
Alaska,55+,6201,Not Applicable,Not Applicable
Alaska,55+,3871,Not Applicable,Not Applicable
Alaska,55+,1341,Not Applicable,Not Applicable
Alaska,55+,290,Not Applicable,Not Applicable
Arizona,0-24,11073,1740660,636.14
Arizona,0-24,2412,6927238,34.82
Arizona,0-24,1202,8567346,14.03
Arizona,0-24,1570,8680769,18.09
Arizona,0-24,5697,8626691,66.04
Arizona,0-24,9244,8765548,105.46
Arizona,25-34,9873,8676341,113.79
Arizona,25-34,11059,8267361,133.77
Arizona,35-44,13880,8199350,169.28
