Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2013,20,53,32,34,27,166
Alaska,2013,N/A,N/A,N/A,N/A,N/A,69
Arizona,2013,69,118,102,132,106,527
Arkansas,2013,24,39,31,34,34,162
California,2013,177,359,332,502,577,1948
Colorado,2013,67,88,84,100,94,433
Connecticut,2013,45,113,92,114,75,439
Delaware,2013,N/A,N/A,N/A,N/A,N/A,113
District of Columbia,2013,N/A,N/A,N/A,15,30,60
Florida,2013,84,270,279,361,274,1268
Georgia,2013,53,114,125,139,99,530
Hawaii,2013,N/A,N/A,N/A,N/A,N/A,69
Idaho,2013,N/A,N/A,N/A,N/A,N/A,77
Illinois,2013,141,286,217,262,166,1072
Indiana,2013,49,106,84,77,44,360
Iowa,2013,24,31,47,41,36,179
Kansas,2013,17,33,37,42,29,158
Kentucky,2013,56,155,166,184,104,665
Louisiana,2013,29,72,72,46,46,265
Maine,2013,N/A,N/A,N/A,N/A,N/A,125
Maryland,2013,71,198,145,210,124,749
Massachusetts,2013,75,246,214,243,110,888
Michigan,2013,99,232,182,232,164,909
Minnesota,2013,34,77,56,83,55,305
Mississippi,2013,N/A,N/A,N/A,N/A,N/A,100
Missouri,2013,67,144,158,161,90,620
Montana,2013,N/A,12,16,26,N/A,67
Nebraska,2013,N/A,N/A,N/A,13,10,41
Nevada,2013,34,75,64,114,111,398
New Hampshire,2013,17,35,33,45,27,157
New Jersey,2013,95,180,133,178,89,675
New Mexico,2013,34,59,76,84,68,322
New York,2013,208,399,312,426,336,1681
North Carolina,2013,74,182,221,239,118,834
North Dakota,2013,N/A,N/A,N/A,N/A,N/A,11
Ohio,2013,130,432,372,455,241,1630
Oklahoma,2013,48,87,100,149,127,511
Oregon,2013,22,55,72,69,83,301
Pennsylvania,2013,112,290,212,209,135,958
Rhode Island,2013,13,42,39,68,28,190
South Carolina,2013,12,49,63,78,45,247
South Dakota,2013,N/A,N/A,N/A,13,N/A,34
Tennessee,2013,53,149,198,210,157,767
Texas,2013,149,248,210,236,210,1053
Utah,2013,55,120,91,98,68,432
Vermont,2013,N/A,N/A,N/A,N/A,N/A,70
Virginia,2013,59,187,143,151,100,640
Washington,2013,51,127,137,166,159,640
West Virginia,2013,32,131,125,132,70,490
Wisconsin,2013,83,149,126,138,103,599
Wyoming,2013,N/A,N/A,13,13,N/A,48
United States,2014,2770,7028,6338,6987,5522,28647
Alabama,2014,25,70,56,66,53,270
Alaska,2014,12,17,23,10,14,76
Arizona,2014,62,131,106,122,168,589
Arkansas,2014,17,31,50,51,24,173
California,2014,178,374,320,504,648,2024
Colorado,2014,46,141,115,106,109,517
Connecticut,2014,45,127,136,147,70,525
Delaware,2014,N/A,N/A,N/A,N/A,N/A,124
District of Columbia,2014,N/A,N/A,N/A,27,24,63
Florida,2014,99,358,315,332,295,1399
Georgia,2014,89,188,157,155,121,710
Hawaii,2014,N/A,N/A,N/A,18,21,59
Idaho,2014,N/A,N/A,N/A,N/A,N/A,78
Illinois,2014,127,314,282,282,200,1205
Indiana,2014,58,128,110,102,64,462
Iowa,2014,21,28,36,42,31,158
Kansas,2014,18,40,28,44,43,173
Kentucky,2014,51,175,182,186,135,729
Louisiana,2014,23,73,61,55,48,260
Maine,2014,11,52,38,46,24,171
Maryland,2014,93,219,183,249,177,921
Massachusetts,2014,103,345,270,279,143,1140
Michigan,2014,103,258,228,257,206,1052
Minnesota,2014,34,73,81,71,59,318
Mississippi,2014,16,27,19,30,23,115
Missouri,2014,76,185,155,177,103,696
Montana,2014,N/A,N/A,N/A,N/A,N/A,53
Nebraska,2014,N/A,17,16,11,N/A,56
Nevada,2014,34,65,64,98,114,375
New Hampshire,2014,31,97,62,67,40,297
New Jersey,2014,91,181,156,189,111,728
New Mexico,2014,31,95,98,93,85,402
New York,2014,200,449,357,422,311,1739
North Carolina,2014,93,243,252,231,147,967
North Dakota,2014,N/A,11,10,N/A,N/A,31
Ohio,2014,194,560,534,490,328,2106
Oklahoma,2014,34,92,95,147,134,502
Oregon,2014,32,78,62,78,90,340
Pennsylvania,2014,169,306,245,222,149,1092
Rhode Island,2014,11,55,51,49,39,205
South Carolina,2014,40,81,118,148,128,515
South Dakota,2014,N/A,12,N/A,N/A,N/A,33
Tennessee,2014,49,196,214,263,141,863
Texas,2014,143,285,240,249,234,1151
Utah,2014,36,118,117,99,85,455
Vermont,2014,N/A,N/A,N/A,N/A,N/A,64
Virginia,2014,73,200,193,176,116,758
Washington,2014,58,129,126,188,172,673
West Virginia,2014,32,128,147,159,88,554
Wisconsin,2014,67,161,131,151,117,627
Wyoming,2014,N/A,14,N/A,16,12,54
Alabama,2015,25,75,74,72,36,282
Alaska,2015,16,24,13,15,18,86
Arizona,2015,79,149,148,147,148,671
Arkansas,2015,18,35,59,52,39,203
California,2015,179,390,342,447,660,2018
Colorado,2015,43,148,98,94,112,495
Connecticut,2015,63,168,146,176,132,685
