Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2013,20,53,32,34,27,166
Alaska,2013,N/A,N/A,N/A,N/A,N/A,69
Arizona,2013,69,118,102,132,106,527
Arkansas,2013,24,39,31,34,34,162
California,2013,177,359,332,502,577,1948
Colorado,2013,67,88,84,100,94,433
Connecticut,2013,45,113,92,114,75,439
Delaware,2013,N/A,N/A,N/A,N/A,N/A,113
District of Columbia,2013,N/A,N/A,N/A,15,30,60
Florida,2013,84,270,279,361,274,1268
Georgia,2013,53,114,125,139,99,530
Hawaii,2013,N/A,N/A,N/A,N/A,N/A,69
Idaho,2013,N/A,N/A,N/A,N/A,N/A,77
Illinois,2013,141,286,217,262,166,1072
Indiana,2013,49,106,84,77,44,360
Iowa,2013,24,31,47,41,36,179
Kansas,2013,17,33,37,42,29,158
Kentucky,2013,56,155,166,184,104,665
Louisiana,2013,29,72,72,46,46,265
Maine,2013,N/A,N/A,N/A,N/A,N/A,125
Maryland,2013,71,198,145,210,124,749
Massachusetts,2013,75,246,214,243,110,888
Michigan,2013,99,232,182,232,164,909
Minnesota,2013,34,77,56,83,55,305
Mississippi,2013,N/A,N/A,N/A,N/A,N/A,100
Missouri,2013,67,144,158,161,90,620
Montana,2013,N/A,12,16,26,N/A,67
Nebraska,2013,N/A,N/A,N/A,13,10,41
Nevada,2013,34,75,64,114,111,398
New Hampshire,2013,17,35,33,45,27,157
New Jersey,2013,95,180,133,178,89,675
New Mexico,2013,34,59,76,84,68,322
New York,2013,208,399,312,426,336,1681
North Carolina,2013,74,182,221,239,118,834
North Dakota,2013,N/A,N/A,N/A,N/A,N/A,11
Ohio,2013,130,432,372,455,241,1630
Oklahoma,2013,48,87,100,149,127,511
Oregon,2013,22,55,72,69,83,301
Pennsylvania,2013,112,290,212,209,135,958
Rhode Island,2013,13,42,39,68,28,190
South Carolina,2013,12,49,63,78,45,247
South Dakota,2013,N/A,N/A,N/A,13,N/A,34
Tennessee,2013,53,149,198,210,157,767
Texas,2013,149,248,210,236,210,1053
Utah,2013,55,120,91,98,68,432
Vermont,2013,N/A,N/A,N/A,N/A,N/A,70
Virginia,2013,59,187,143,151,100,640
Washington,2013,51,127,137,166,159,640
West Virginia,2013,32,131,125,132,70,490
Wisconsin,2013,83,149,126,138,103,599
Wyoming,2013,N/A,N/A,13,13,N/A,48
